iter	Passed	Remaining
689	69884	31397
690	69929	31270
691	70013	31161
692	70089	31049
693	70165	30937
694	70247	30828
695	70318	30713
696	70394	30601
697	70478	30493
698	70550	30380
699	70604	30259
700	70685	30149
701	70751	30034
702	70823	29921
703	70864	29795
704	70908	29671
705	70951	29546
706	71027	29435
707	71103	29325
708	71172	29211
709	71269	29110
710	71332	28994
711	71395	28879
712	71473	28769
713	71564	28666
714	71620	28547
715	71664	28425
716	71734	28313
717	71788	28195
718	71860	28084
719	71924	27970
720	71989	27857
721	72059	27745
722	72129	27634
723	72187	27518
724	72249	27404
725	72314	27292
726	72386	27182
727	72444	27067
728	72488	26947
729	72523	26823
730	72567	26704
731	72649	26598
732	72723	26490
733	72789	26378
734	72850	26265
735	72898	26148
736	72945	26030
737	72989	25912
738	73055	25801
739	73133	25695
740	73204	25586
741	73264	25474
742	73320	25361
743	73387	25251
744	73442	25137
745	73508	25028
746	73567	24916
747	73632	24806
748	73696	24696
749	73741	24580
750	73786	24464
751	73829	24348
752	73872	24231
753	73910	24114
754	73944	23995
755	73980	23877
756	74021	23761
757	74099	23656
758	74157	23546
759	74212	23435
760	74276	23327
761	74332	23216
762	74393	23107
763	74462	23001
764	74518	22891
765	74583	22784
766	74643	22675
767	74697	22564
768	74763	22458
769	74839	22354
770	74893	22244
771	74944	22133
772	74998	22024
773	75052	21914
774	75114	21807
775	75193	21705
776	75262	21600
777	75321	21492
778	75384	21386
779	75449	21280
780	75499	21170
781	75572	21067
782	75630	20960
783	75689	20853
784	75722	20739
785	75751	20624
786	75789	20512
787	75851	20406
788	75930	20305
789	76005	20204
790	76066	20098
791	76144	19997
792	76221	19896
793	76286	19792
794	76367	19692
795	76449	19592
796	76487	19481
797	76544	19375
798	76636	19279
799	76713	19178
800	76794	19078
801	76872	18978
802	76981	18885
803	77101	18795
804	77143	18686
805	77218	18586
806	77255	18476
807	77288	18365
808	77319	18254
809	77371	18148
810	77443	18047
811	77517	17947
812	77583	17845
813	77659	17745
814	77700	17637
815	77735	17528
816	77792	17424
817	77859	17323
818	77931	17222
819	78022	17126
820	78109	17029
821	78162	16925
822	78195	16817
823	78232	16709
824	78290	16607
825	78393	16513
826	78448	16410
827	78526	16312
828	78586	16210
829	78677	16114
830	78747	16014
831	78789	15909
832	78857	15809
833	78927	15709
834	79044	15619
835	79125	15522
836	79159	15415
837	79219	15314
838	79281	15213
839	79347	15113
840	79408	15012
841	79460	14910
842	79518	14809
843	79562	14705
844	79610	14603
845	79678	14504
846	79741	14404
847	79804	14304
848	79863	14204
849	79931	14105
850	79986	14004
851	80050	13905
852	80107	13805
853	80156	13703
854	80224	13605
855	80287	13506
856	80372	13411
857	80449	13314
858	80491	13212
859	80563	13114
860	80624	13016
861	80698	12919
862	80762	12820
863	80834	12723
864	80907	12627
865	80988	12531
866	81049	12433
867	81120	12336
868	81198	12240
869	81282	12145
870	81337	12046
871	81383	11946
872	81429	11845
873	81468	11744
874	81507	11643
875	81570	11546
876	81613	11446
877	81655	11346
878	81744	11252
879	81832	11158
880	81903	11063
881	81962	10965
882	82018	10867
883	82088	10771
884	82151	10675
885	82217	10578
886	82270	10480
887	82354	10387
888	82437	10293
889	82543	10201
890	82611	10106
891	82654	10007
892	82703	9909
893	82746	9811
894	82783	9712
895	82850	9616
896	82950	9524
897	83094	9438
898	83160	9342
899	83199	9244
900	83235	9145
901	83293	9049
902	83376	8956
903	83435	8860
904	83491	8764
905	83545	8668
906	83610	8573
907	83658	8476
908	83699	8379
909	83730	8281
910	83776	8184
911	83812	8087
912	83841	7989
913	83873	7891
914	83907	7794
915	83950	7698
916	84041	7606
917	84116	7513
918	84178	7419
919	84223	7323
920	84258	7227
921	84299	7131
922	84340	7035
923	84394	6941
924	84455	6847
925	84517	6754
926	84577	6660
927	84622	6565
928	84680	6471
929	84741	6378
930	84808	6285
931	84866	6191
932	84922	6098
933	84986	6005
934	85055	5912
935	85118	5820
936	85180	5727
937	85234	5633
938	85312	5542
939	85367	5449
940	85426	5356
941	85487	5263
942	85563	5171
943	85631	5079
944	85661	4985
945	85698	4891
946	85740	4798
947	85813	4707
948	85877	4615
949	85933	4522
950	85984	4430
951	86044	4338
952	86090	4245
953	86124	4152
954	86159	4059
955	86188	3966
956	86242	3875
957	86269	3782
958	86297	3689
959	86330	3597
960	86362	3504
961	86387	3412
962	86411	3320
963	86446	3228
964	86479	3136
965	86527	3045
966	86557	2953
967	86590	2862
968	86624	2771
969	86653	2679
970	86685	2588
971	86718	2498
972	86748	2407
973	86780	2316
974	86816	2226
975	86838	2135
976	86860	2044
977	86881	1954
978	86903	1864
979	86924	1773
980	86943	1683
981	86963	1594
982	86985	1504
983	87007	1414
984	87032	1325
985	87053	1236
986	87074	1146
987	87094	1057
988	87108	968
989	87122	880
990	87138	791
991	87153	702
992	87167	614
993	87181	526
994	87195	438
995	87209	350
996	87223	262
997	87238	174
998	87254	87
999	87270	0
